Policy_ID,Customer_ID,Plan_Name,Coverage_Amount,Payment_Mode,Premium,Start_Date,End_Date,Status
POL0026,C026,ประกันสุขภาพ,1350000,รายเดือน,3248.44,2025-10-03,2026-10-03,Active
POL0027,C027,ประกันอุบัติเหตุ,1000000,รายปี,4500.0,2025-10-26,2026-10-26,Active
POL0028,C028,ประกันโรคร้ายแรง,1450000,รายปี,39150.0,2025-03-12,2026-03-12,Active
POL0029,C029,ประกันโรคร้ายแรง,550000,รายปี,14520.0,2025-02-26,2026-02-26,Active
POL0030,C030,ประกันสุขภาพ,1200000,รายปี,27000.0,2025-12-15,2026-12-15,Active
POL0031,C031,ประกันโรคร้ายแรง,500000,รายกึ่งปี,7917.75,2025-07-15,2026-07-15,Active
POL0032,C032,ประกันโรคร้ายแรง,1950000,รายกึ่งปี,30879.22,2025-10-11,2026-10-11,Active
POL0033,C033,ประกันชีวิต,2650000,รายปี,61711.87,2025-12-16,2026-12-16,Active
POL0034,C034,ประกันอุบัติเหตุ,600000,รายปี,5265.0,2025-05-31,2026-05-31,Active
POL0035,C035,ประกันโรคร้ายแรง,800000,รายกึ่งปี,7344.0,2025-01-02,2026-01-02,Active
POL0036,C036,ประกันอุบัติเหตุ,900000,รายปี,4950.0,2025-09-17,2026-09-17,Active
POL0037,C037,ประกันชีวิต,2500000,รายเดือน,4150.78,2025-11-24,2026-11-24,Active
POL0038,C038,ประกันสุขภาพ,400000,รายกึ่งปี,6885.0,2025-03-24,2026-03-24,Active
POL0039,C039,ประกันชีวิต,2400000,รายเดือน,2835.0,2025-09-08,2026-09-08,Active
POL0040,C040,ประกันชีวิต,850000,รายเดือน,1506.09,2025-06-07,2026-06-07,Active
POL0041,C041,ประกันสุขภาพ,250000,รายปี,5343.75,2025-10-18,2026-10-18,Active
POL0042,C042,ประกันชีวิต,750000,รายเดือน,1328.91,2025-02-05,2026-02-05,Active
POL0043,C043,ประกันสุขภาพ,400000,รายเดือน,1299.38,2025-09-01,2026-09-01,Active
POL0044,C044,ประกันสุขภาพ,600000,รายเดือน,2303.44,2025-11-07,2026-11-07,Active
POL0045,C045,ประกันโรคร้ายแรง,950000,รายปี,25650.0,2025-06-09,2026-06-09,Active
POL0046,C046,ประกันโรคร้ายแรง,1450000,รายกึ่งปี,16269.0,2025-09-22,2026-09-22,Active
POL0047,C047,ประกันโรคร้ายแรง,650000,รายปี,16445.0,2025-04-26,2026-04-26,Active
POL0048,C048,ประกันชีวิต,1550000,รายปี,24063.75,2025-10-29,2026-10-29,Active
POL0049,C049,ประกันสุขภาพ,1100000,รายปี,24750.0,2025-01-04,2026-01-04,Active
POL0050,C050,ประกันชีวิต,2750000,รายปี,72393.75,2025-04-28,2026-04-28,Active
POL0051,C051,ประกันชีวิต,600000,รายเดือน,850.5,2025-02-06,2026-02-06,Active
POL0052,C052,ประกันสุขภาพ,600000,รายเดือน,1949.06,2025-09-06,2026-09-06,Active
POL0053,C053,ประกันสุขภาพ,1050000,รายปี,34650.0,2025-10-20,2026-10-20,Active
POL0054,C054,ประกันโรคร้ายแรง,1050000,รายกึ่งปี,11781.0,2025-07-28,2026-07-28,Active
POL0055,C055,ประกันสุขภาพ,350000,รายปี,11812.5,2025-12-04,2026-12-04,Active
POL0056,C056,ประกันโรคร้ายแรง,1400000,รายกึ่งปี,19278.0,2025-07-30,2026-07-30,Active
POL0057,C057,ประกันโรคร้ายแรง,450000,รายปี,12150.0,2025-02-01,2026-02-01,Active
POL0058,C058,ประกันโรคร้ายแรง,1350000,รายปี,27945.0,2025-05-08,2026-05-08,Active
POL0059,C059,ประกันสุขภาพ,500000,รายเดือน,984.38,2025-08-18,2026-08-18,Active
POL0060,C060,ประกันสุขภาพ,850000,รายปี,23375.0,2025-05-23,2026-05-23,Active
POL0061,C061,ประกันโรคร้ายแรง,1050000,รายปี,23100.0,2025-08-15,2026-08-15,Active
POL0062,C062,ประกันชีวิต,650000,รายปี,8775.0,2025-02-17,2026-02-17,Active
POL0063,C063,ประกันสุขภาพ,450000,รายกึ่งปี,10456.59,2025-09-06,2026-09-06,Active
POL0064,C064,ประกันโรคร้ายแรง,950000,รายกึ่งปี,17660.03,2025-01-31,2026-01-31,Active
POL0065,C065,ประกันสุขภาพ,800000,รายปี,27000.0,2025-07-19,2026-07-19,Active
POL0066,C066,ประกันอุบัติเหตุ,800000,รายปี,3600.0,2025-08-05,2026-08-05,Active
POL0067,C067,ประกันโรคร้ายแรง,750000,รายปี,21450.0,2025-06-01,2026-06-01,Active
POL0068,C068,ประกันสุขภาพ,250000,รายเดือน,601.56,2025-10-05,2026-10-05,Active
POL0069,C069,ประกันชีวิต,2850000,รายเดือน,4114.69,2025-01-30,2026-01-30,Active
POL0070,C070,ประกันชีวิต,2350000,รายเดือน,4996.69,2025-09-15,2026-09-15,Active
POL0071,C071,ประกันสุขภาพ,250000,รายเดือน,590.62,2025-02-11,2026-02-11,Active
POL0072,C072,ประกันสุขภาพ,300000,รายเดือน,885.94,2025-02-04,2026-02-04,Active
POL0073,C073,ประกันสุขภาพ,800000,รายปี,27000.0,2025-10-19,2026-10-19,Active
POL0074,C074,ประกันสุขภาพ,1100000,รายเดือน,3248.44,2025-01-21,2026-01-21,Active
POL0075,C075,ประกันชีวิต,1800000,รายเดือน,2445.19,2025-05-14,2026-05-14,Active
POL0076,C076,ประกันสุขภาพ,1250000,รายเดือน,3458.98,2025-06-10,2026-06-10,Active
POL0077,C077,ประกันสุขภาพ,600000,รายกึ่งปี,8415.0,2025-03-09,2026-03-09,Active
POL0078,C078,ประกันอุบัติเหตุ,800000,รายปี,7290.0,2025-02-07,2026-02-07,Active
POL0079,C079,ประกันชีวิต,1950000,รายปี,37001.25,2025-02-07,2026-02-07,Active
POL0080,C080,ประกันสุขภาพ,1000000,รายกึ่งปี,11475.0,2025-03-09,2026-03-09,Active
POL0081,C081,ประกันอุบัติเหตุ,200000,รายปี,1215.0,2025-07-09,2026-07-09,Active
POL0082,C082,ประกันอุบัติเหตุ,350000,รายปี,1925.0,2025-10-06,2026-10-06,Active
POL0083,C083,ประกันอุบัติเหตุ,900000,รายปี,4050.0,2025-12-08,2026-12-08,Active
POL0084,C084,ประกันอุบัติเหตุ,250000,รายปี,1125.0,2025-05-16,2026-05-16,Active
POL0085,C085,ประกันชีวิต,800000,รายปี,10800.0,2025-05-20,2026-05-20,Active
POL0086,C086,ประกันอุบัติเหตุ,400000,รายปี,2640.0,2025-04-15,2026-04-15,Active
POL0087,C087,ประกันอุบัติเหตุ,900000,รายปี,4050.0,2025-05-09,2026-05-09,Active
POL0088,C088,ประกันชีวิต,750000,รายเดือน,1794.02,2025-05-22,2026-05-22,Active
POL0089,C089,ประกันชีวิต,500000,รายเดือน,885.94,2025-03-08,2026-03-08,Active
POL0090,C090,ประกันอุบัติเหตุ,350000,รายปี,2362.5,2025-10-10,2026-10-10,Active
POL0091,C091,ประกันโรคร้ายแรง,300000,รายปี,7920.0,2025-02-08,2026-02-08,Active
POL0092,C092,ประกันสุขภาพ,1050000,รายปี,40753.12,2025-07-09,2026-07-09,Active
POL0093,C093,ประกันสุขภาพ,850000,รายปี,37293.75,2025-01-22,2026-01-22,Active
POL0094,C094,ประกันอุบัติเหตุ,650000,รายปี,5265.0,2025-07-03,2026-07-03,Active
POL0095,C095,ประกันสุขภาพ,1250000,รายปี,28125.0,2025-12-08,2026-12-08,Active
POL0096,C096,ประกันชีวิต,1600000,รายเดือน,2835.0,2025-11-14,2026-11-14,Active
POL0097,C097,ประกันสุขภาพ,550000,รายปี,15125.0,2025-04-01,2026-04-01,Active
POL0098,C098,ประกันโรคร้ายแรง,350000,รายปี,9450.0,2025-06-20,2026-06-20,Active
POL0099,C099,ประกันโรคร้ายแรง,1050000,รายกึ่งปี,19518.98,2025-03-23,2026-03-23,Active
POL0100,C100,ประกันชีวิต,1700000,รายปี,34425.0,2025-08-29,2026-08-29,Active
POL0101,C101,ประกันสุขภาพ,500000,รายกึ่งปี,9116.25,2025-06-29,2026-06-29,Active
POL0102,C102,ประกันอุบัติเหตุ,450000,รายปี,2328.75,2025-01-13,2026-01-13,Active
POL0103,C103,ประกันสุขภาพ,800000,รายกึ่งปี,17901.0,2025-05-23,2026-05-23,Active
POL0104,C104,ประกันชีวิต,2950000,รายเดือน,5227.03,2025-06-29,2026-06-29,Active
POL0105,C105,ประกันโรคร้ายแรง,2000000,รายกึ่งปี,30294.0,2025-01-15,2026-01-15,Active
POL0106,C106,ประกันชีวิต,1300000,รายปี,21450.0,2025-10-25,2026-10-25,Active
POL0107,C107,ประกันอุบัติเหตุ,150000,รายปี,1113.75,2025-11-02,2026-11-02,Active
POL0108,C108,ประกันโรคร้ายแรง,1400000,รายกึ่งปี,17350.2,2025-08-12,2026-08-12,Active
POL0109,C109,ประกันชีวิต,1700000,รายปี,22950.0,2025-05-11,2026-05-11,Active
POL0110,C110,ประกันชีวิต,2750000,รายเดือน,4565.86,2025-01-01,2026-01-01,Active
POL0111,C111,ประกันสุขภาพ,750000,รายกึ่งปี,8606.25,2025-02-05,2026-02-05,Active
POL0112,C112,ประกันอุบัติเหตุ,600000,รายปี,4050.0,2025-06-03,2026-06-03,Active
POL0113,C113,ประกันอุบัติเหตุ,750000,รายปี,4125.0,2025-07-26,2026-07-26,Active
POL0114,C114,ประกันอุบัติเหตุ,950000,รายปี,6792.5,2025-04-09,2026-04-09,Active
POL0115,C115,ประกันโรคร้ายแรง,1500000,รายปี,27000.0,2025-11-12,2026-11-12,Active
POL0116,C116,ประกันอุบัติเหตุ,700000,รายปี,6142.5,2025-06-05,2026-06-05,Active
POL0117,C117,ประกันอุบัติเหตุ,400000,รายปี,2200.0,2025-10-24,2026-10-24,Active
POL0118,C118,ประกันอุบัติเหตุ,800000,รายปี,5940.0,2025-08-15,2026-08-15,Active
POL0119,C119,ประกันสุขภาพ,1000000,รายกึ่งปี,15491.25,2025-03-28,2026-03-28,Active
POL0120,C120,ประกันชีวิต,1400000,รายเดือน,2480.63,2025-02-17,2026-02-17,Active
POL0121,C121,ประกันสุขภาพ,1250000,รายกึ่งปี,14343.75,2025-04-26,2026-04-26,Active
POL0122,C122,ประกันสุขภาพ,400000,รายปี,9000.0,2025-01-24,2026-01-24,Active
POL0123,C123,ประกันสุขภาพ,950000,รายเดือน,2285.94,2025-02-07,2026-02-07,Active
POL0124,C124,ประกันโรคร้ายแรง,1600000,รายปี,43200.0,2025-12-23,2026-12-23,Active
POL0125,C125,ประกันโรคร้ายแรง,1850000,รายกึ่งปี,20757.0,2025-05-05,2026-05-05,Active
POL0126,C126,ประกันสุขภาพ,1200000,รายเดือน,2362.5,2025-01-03,2026-01-03,Active
POL0127,C127,ประกันชีวิต,2950000,รายเดือน,5227.03,2025-04-23,2026-04-23,Active
POL0128,C128,ประกันสุขภาพ,1450000,รายเดือน,3489.06,2025-09-23,2026-09-23,Active
POL0129,C129,ประกันโรคร้ายแรง,450000,รายปี,12150.0,2025-03-04,2026-03-04,Active
POL0130,C130,ประกันโรคร้ายแรง,700000,รายกึ่งปี,8353.8,2025-12-08,2026-12-08,Active
POL0131,C131,ประกันอุบัติเหตุ,800000,รายปี,4400.0,2025-10-08,2026-10-08,Active
POL0132,C132,ประกันโรคร้ายแรง,800000,รายกึ่งปี,8976.0,2025-08-19,2026-08-19,Active
POL0133,C133,ประกันอุบัติเหตุ,450000,รายปี,2846.25,2025-09-24,2026-09-24,Active
POL0134,C134,ประกันโรคร้ายแรง,1050000,รายกึ่งปี,11191.95,2025-08-14,2026-08-14,Active
POL0135,C135,ประกันชีวิต,2750000,รายเดือน,3970.31,2025-05-01,2026-05-01,Active
POL0136,C136,ประกันอุบัติเหตุ,600000,รายปี,5467.5,2025-10-04,2026-10-04,Active
POL0137,C137,ประกันชีวิต,900000,รายปี,14850.0,2025-04-29,2026-04-29,Active
POL0138,C138,ประกันโรคร้ายแรง,750000,รายปี,15525.0,2025-02-02,2026-02-02,Active
POL0139,C139,ประกันโรคร้ายแรง,1600000,รายกึ่งปี,17952.0,2025-10-05,2026-10-05,Active
POL0140,C140,ประกันโรคร้ายแรง,1600000,รายปี,43200.0,2025-04-16,2026-04-16,Active
POL0141,C141,ประกันโรคร้ายแรง,1500000,รายปี,31050.0,2025-10-22,2026-10-22,Active
POL0142,C142,ประกันโรคร้ายแรง,1800000,รายปี,48600.0,2025-06-30,2026-06-30,Active
POL0143,C143,ประกันอุบัติเหตุ,700000,รายปี,3657.5,2025-10-03,2026-10-03,Active
POL0144,C144,ประกันสุขภาพ,950000,รายปี,36871.88,2025-05-20,2026-05-20,Active
POL0145,C145,ประกันโรคร้ายแรง,1850000,รายปี,31635.0,2025-07-19,2026-07-19,Active
POL0146,C146,ประกันอุบัติเหตุ,700000,รายปี,4725.0,2025-08-28,2026-08-28,Active
POL0147,C147,ประกันสุขภาพ,1150000,รายเดือน,3597.34,2025-01-14,2026-01-14,Active
POL0148,C148,ประกันโรคร้ายแรง,350000,รายปี,9450.0,2025-11-26,2026-11-26,Active
POL0149,C149,ประกันโรคร้ายแรง,700000,รายกึ่งปี,7854.0,2025-04-04,2026-04-04,Active
POL0150,C150,ประกันชีวิต,1300000,รายเดือน,2303.44,2025-06-17,2026-06-17,Active
POL0151,C151,ประกันสุขภาพ,900000,รายกึ่งปี,12622.5,2025-06-22,2026-06-22,Active
POL0152,C152,ประกันโรคร้ายแรง,1150000,รายกึ่งปี,15835.5,2025-05-10,2026-05-10,Active
POL0153,C153,ประกันชีวิต,2000000,รายปี,35100.0,2025-10-04,2026-10-04,Active
POL0154,C154,ประกันชีวิต,1600000,รายปี,26400.0,2025-11-29,2026-11-29,Active
POL0155,C155,ประกันชีวิต,2950000,รายปี,59737.5,2025-01-16,2026-01-16,Active
POL0156,C156,ประกันสุขภาพ,500000,รายปี,13750.0,2025-11-15,2026-11-15,Active
POL0157,C157,ประกันสุขภาพ,550000,รายปี,15125.0,2025-08-31,2026-08-31,Active
POL0158,C158,ประกันชีวิต,2300000,รายปี,37950.0,2025-08-27,2026-08-27,Active
POL0159,C159,ประกันอุบัติเหตุ,650000,รายปี,3575.0,2025-11-07,2026-11-07,Active
POL0160,C160,ประกันชีวิต,2950000,รายปี,68698.12,2025-06-09,2026-06-09,Active
POL0161,C161,ประกันชีวิต,2350000,รายปี,44591.25,2025-06-09,2026-06-09,Active
POL0162,C162,ประกันโรคร้ายแรง,1550000,รายปี,39215.0,2025-02-08,2026-02-08,Active
POL0163,C163,ประกันสุขภาพ,350000,รายเดือน,1136.95,2025-06-04,2026-06-04,Active
POL0164,C164,ประกันชีวิต,3000000,รายปี,49500.0,2025-06-27,2026-06-27,Active
POL0165,C165,ประกันโรคร้ายแรง,1450000,รายปี,26100.0,2025-09-17,2026-09-17,Active
POL0166,C166,ประกันอุบัติเหตุ,100000,รายปี,675.0,2025-09-08,2026-09-08,Active
POL0167,C167,ประกันชีวิต,1850000,รายเดือน,2670.94,2025-11-22,2026-11-22,Active
POL0168,C168,ประกันโรคร้ายแรง,750000,รายกึ่งปี,10327.5,2025-04-01,2026-04-01,Active
POL0169,C169,ประกันอุบัติเหตุ,950000,รายปี,6412.5,2025-08-27,2026-08-27,Active
POL0170,C170,ประกันโรคร้ายแรง,1150000,รายกึ่งปี,17419.05,2025-05-06,2026-05-06,Active
POL0171,C171,ประกันชีวิต,1350000,รายเดือน,2338.88,2025-05-05,2026-05-05,Active
POL0172,C172,ประกันโรคร้ายแรง,1500000,รายกึ่งปี,16830.0,2025-01-15,2026-01-15,Active
POL0173,C173,ประกันโรคร้ายแรง,1300000,รายปี,40365.0,2025-09-07,2026-09-07,Active
POL0174,C174,ประกันสุขภาพ,750000,รายกึ่งปี,16782.19,2025-06-24,2026-06-24,Active
POL0175,C175,ประกันอุบัติเหตุ,500000,รายปี,2750.0,2025-09-22,2026-09-22,Active
POL0176,C176,ประกันสุขภาพ,300000,รายปี,11137.5,2025-07-28,2026-07-28,Active
POL0177,C177,ประกันโรคร้ายแรง,1050000,รายกึ่งปี,15904.35,2025-11-27,2026-11-27,Active
POL0178,C178,ประกันโรคร้ายแรง,1700000,รายปี,35530.0,2025-02-17,2026-02-17,Active
POL0179,C179,ประกันอุบัติเหตุ,450000,รายปี,3037.5,2025-12-21,2026-12-21,Active
POL0180,C180,ประกันสุขภาพ,650000,รายเดือน,1919.53,2025-10-25,2026-10-25,Active
POL0181,C181,ประกันอุบัติเหตุ,850000,รายปี,5450.62,2025-08-06,2026-08-06,Active
POL0182,C182,ประกันอุบัติเหตุ,650000,รายปี,3575.0,2025-05-19,2026-05-19,Active
POL0183,C183,ประกันอุบัติเหตุ,500000,รายปี,2137.5,2025-03-03,2026-03-03,Active
POL0184,C184,ประกันสุขภาพ,700000,รายปี,19250.0,2025-10-02,2026-10-02,Active
POL0185,C185,ประกันสุขภาพ,500000,รายปี,16875.0,2025-09-05,2026-09-05,Active
POL0186,C186,ประกันอุบัติเหตุ,1000000,รายปี,4500.0,2025-02-21,2026-02-21,Active
POL0187,C187,ประกันสุขภาพ,650000,รายปี,16818.75,2025-07-04,2026-07-04,Active
POL0188,C188,ประกันสุขภาพ,650000,รายปี,14625.0,2025-10-01,2026-10-01,Active
POL0189,C189,ประกันสุขภาพ,600000,รายปี,20250.0,2025-01-28,2026-01-28,Active
POL0190,C190,ประกันอุบัติเหตุ,300000,รายปี,1282.5,2025-02-22,2026-02-22,Active
POL0191,C191,ประกันชีวิต,2300000,รายเดือน,2581.03,2025-08-29,2026-08-29,Active
POL0192,C192,ประกันโรคร้ายแรง,1700000,รายกึ่งปี,21068.1,2025-04-05,2026-04-05,Active
POL0193,C193,ประกันชีวิต,1300000,รายเดือน,2303.44,2025-02-28,2026-02-28,Active
POL0194,C194,ประกันชีวิต,1750000,รายเดือน,2526.56,2025-02-07,2026-02-07,Active
POL0195,C195,ประกันชีวิต,950000,รายปี,18810.0,2025-10-16,2026-10-16,Active
POL0196,C196,ประกันอุบัติเหตุ,200000,รายปี,1100.0,2025-03-02,2026-03-02,Active
POL0197,C197,ประกันโรคร้ายแรง,1000000,รายกึ่งปี,11220.0,2025-08-19,2026-08-19,Active
POL0198,C198,ประกันโรคร้ายแรง,1250000,รายกึ่งปี,19794.38,2025-06-06,2026-06-06,Active
POL0199,C199,ประกันชีวิต,2450000,รายปี,48510.0,2025-04-17,2026-04-17,Active
POL0200,C200,ประกันสุขภาพ,600000,รายเดือน,1443.75,2025-02-11,2026-02-11,Active
POL0201,C201,ประกันสุขภาพ,550000,รายปี,17634.38,2025-10-10,2026-10-10,Active
POL0202,C202,ประกันชีวิต,1000000,รายปี,20250.0,2025-07-29,2026-07-29,Active
POL0203,C203,ประกันโรคร้ายแรง,1800000,รายกึ่งปี,20196.0,2025-01-17,2026-01-17,Active
POL0204,C204,ประกันสุขภาพ,650000,รายเดือน,1564.06,2025-05-25,2026-05-25,Active
POL0205,C205,ประกันโรคร้ายแรง,500000,รายปี,11000.0,2025-05-16,2026-05-16,Active
POL0206,C206,ประกันสุขภาพ,850000,รายปี,37293.75,2025-10-06,2026-10-06,Active
POL0207,C207,ประกันสุขภาพ,1200000,รายปี,42900.0,2025-05-17,2026-05-17,Active
POL0208,C208,ประกันสุขภาพ,300000,รายปี,9900.0,2025-03-26,2026-03-26,Active
POL0209,C209,ประกันอุบัติเหตุ,1000000,รายปี,4500.0,2025-08-13,2026-08-13,Active
POL0210,C210,ประกันชีวิต,1950000,รายเดือน,2303.44,2025-12-25,2026-12-25,Active
POL0211,C211,ประกันโรคร้ายแรง,1150000,รายกึ่งปี,12903.0,2025-08-13,2026-08-13,Active
POL0212,C212,ประกันชีวิต,2400000,รายปี,58320.0,2025-08-10,2026-08-10,Active
POL0213,C213,ประกันอุบัติเหตุ,500000,รายปี,3162.5,2025-02-16,2026-02-16,Active
POL0214,C214,ประกันสุขภาพ,1250000,รายเดือน,3007.81,2025-10-28,2026-10-28,Active
POL0215,C215,ประกันชีวิต,2900000,รายเดือน,4186.88,2025-10-23,2026-10-23,Active
POL0216,C216,ประกันชีวิต,2900000,รายปี,45022.5,2025-08-29,2026-08-29,Active
POL0217,C217,ประกันโรคร้ายแรง,1150000,รายปี,35707.5,2025-10-27,2026-10-27,Active
POL0218,C218,ประกันโรคร้ายแรง,1850000,รายปี,48840.0,2025-08-29,2026-08-29,Active
POL0219,C219,ประกันอุบัติเหตุ,750000,รายปี,5062.5,2025-06-14,2026-06-14,Active
POL0220,C220,ประกันชีวิต,1000000,รายเดือน,1683.28,2025-07-30,2026-07-30,Active
POL0221,C221,ประกันโรคร้ายแรง,1200000,รายกึ่งปี,13464.0,2025-10-09,2026-10-09,Active
POL0222,C222,ประกันชีวิต,1950000,รายปี,37001.25,2025-06-11,2026-06-11,Active
POL0223,C223,ประกันอุบัติเหตุ,600000,รายปี,4050.0,2025-07-26,2026-07-26,Active
POL0224,C224,ประกันชีวิต,2600000,รายเดือน,4606.88,2025-07-31,2026-07-31,Active
POL0225,C225,ประกันชีวิต,1100000,รายเดือน,2143.97,2025-11-15,2026-11-15,Active
POL0226,C226,ประกันโรคร้ายแรง,1700000,รายปี,44880.0,2025-04-15,2026-04-15,Active
POL0227,C227,ประกันอุบัติเหตุ,950000,รายปี,4275.0,2025-05-28,2026-05-28,Active
POL0228,C228,ประกันโรคร้ายแรง,1850000,รายปี,48840.0,2025-01-15,2026-01-15,Active
POL0229,C229,ประกันสุขภาพ,1300000,รายปี,48262.5,2025-06-09,2026-06-09,Active
POL0230,C230,ประกันชีวิต,2250000,รายเดือน,4222.97,2025-02-17,2026-02-17,Active
POL0231,C231,ประกันสุขภาพ,1500000,รายปี,41250.0,2025-08-25,2026-08-25,Active
POL0232,C232,ประกันชีวิต,2550000,รายปี,56801.25,2025-09-13,2026-09-13,Active
POL0233,C233,ประกันอุบัติเหตุ,900000,รายปี,6075.0,2025-08-01,2026-08-01,Active
POL0234,C234,ประกันโรคร้ายแรง,1800000,รายปี,39600.0,2025-08-22,2026-08-22,Active
POL0235,C235,ประกันสุขภาพ,800000,รายปี,27000.0,2025-11-03,2026-11-03,Active
POL0236,C236,ประกันสุขภาพ,300000,รายกึ่งปี,5469.75,2025-08-01,2026-08-01,Active
POL0237,C237,ประกันอุบัติเหตุ,900000,รายปี,4950.0,2025-01-02,2026-01-02,Active
POL0238,C238,ประกันอุบัติเหตุ,550000,รายปี,2351.25,2025-03-18,2026-03-18,Active
POL0239,C239,ประกันโรคร้ายแรง,2000000,รายกึ่งปี,30294.0,2025-06-26,2026-06-26,Active
POL0240,C240,ประกันอุบัติเหตุ,950000,รายปี,5225.0,2025-08-22,2026-08-22,Active
POL0241,C241,ประกันอุบัติเหตุ,400000,รายปี,2200.0,2025-10-20,2026-10-20,Active
POL0242,C242,ประกันโรคร้ายแรง,1000000,รายกึ่งปี,10659.0,2025-01-23,2026-01-23,Active
POL0243,C243,ประกันอุบัติเหตุ,850000,รายปี,4675.0,2025-07-17,2026-07-17,Active
POL0244,C244,ประกันสุขภาพ,950000,รายปี,32062.5,2025-03-06,2026-03-06,Active
POL0245,C245,ประกันอุบัติเหตุ,250000,รายปี,1125.0,2025-02-21,2026-02-21,Active
POL0246,C246,ประกันโรคร้ายแรง,300000,รายปี,8100.0,2025-07-29,2026-07-29,Active
POL0247,C247,ประกันสุขภาพ,300000,รายกึ่งปี,4207.5,2025-05-16,2026-05-16,Active
POL0248,C248,ประกันอุบัติเหตุ,700000,รายปี,5670.0,2025-06-18,2026-06-18,Active
POL0249,C249,ประกันโรคร้ายแรง,1300000,รายกึ่งปี,17901.0,2025-10-05,2026-10-05,Active
POL0250,C250,ประกันชีวิต,2450000,รายปี,49612.5,2025-05-01,2026-05-01,Active
POL0251,C251,ประกันอุบัติเหตุ,450000,รายปี,3037.5,2025-08-11,2026-08-11,Active
POL0252,C252,ประกันชีวิต,2900000,รายปี,55027.5,2025-08-16,2026-08-16,Active
POL0253,C253,ประกันสุขภาพ,1300000,รายกึ่งปี,21879.0,2025-01-15,2026-01-15,Active
POL0254,C254,ประกันชีวิต,1500000,รายปี,24750.0,2025-05-31,2026-05-31,Active
POL0255,C255,ประกันอุบัติเหตุ,650000,รายปี,3363.75,2025-03-16,2026-03-16,Active
POL0256,C256,ประกันสุขภาพ,1000000,รายกึ่งปี,18232.5,2025-10-17,2026-10-17,Active
POL0257,C257,ประกันสุขภาพ,450000,รายปี,10125.0,2025-02-10,2026-02-10,Active
POL0258,C258,ประกันโรคร้ายแรง,1050000,รายกึ่งปี,15904.35,2025-10-26,2026-10-26,Active
POL0259,C259,ประกันสุขภาพ,550000,รายกึ่งปี,9466.88,2025-11-23,2026-11-23,Active
POL0260,C260,ประกันอุบัติเหตุ,800000,รายปี,3600.0,2025-12-08,2026-12-08,Active
POL0261,C261,ประกันชีวิต,1950000,รายเดือน,2815.31,2025-12-13,2026-12-13,Active
POL0262,C262,ประกันสุขภาพ,300000,รายกึ่งปี,5163.75,2025-06-26,2026-06-26,Active
